Name,Taxon ID,Type,Reference ID,GI ID
Bacteroides timonensis,1470345,species,NZ_CBVI010000130.1,763414480
Bacteroides timonensis,1470345,species,NZ_CBVI010000133.1,763414647
Bacteroides timonensis,1470345,species,NZ_CBVI010000134.1,763414805
Bacteroides timonensis,1470345,species,NZ_CBVI010000135.1,763414855
Bacteroides timonensis,1470345,species,NZ_CBVI010000136.1,763414882
Bacteroides timonensis,1470345,species,NZ_CBVI010000137.1,763414946
Bacteroides timonensis,1470345,species,NZ_CBVI010000138.1,763414966
Bacteroides timonensis,1470345,species,NZ_CBVI010000139.1,763415000
Bacteroides timonensis,1470345,species,NZ_CBVI010000140.1,763415043
Bacteroides timonensis,1470345,species,NZ_CBVI010000141.1,763415159
Bacteroides timonensis,1470345,species,NZ_CBVI010000142.1,763415202
Bacteroides timonensis,1470345,species,NZ_CBVI010000143.1,763415211
Bacteroides timonensis,1470345,species,NZ_CBVI010000144.1,763415276
Bacteroides timonensis,1470345,species,NZ_CBVI010000145.1,763415314
Bacteroides timonensis,1470345,species,NZ_CBVI010000146.1,763415401
Bacteroides timonensis,1470345,species,NZ_CBVI010000147.1,763415538
Bacteroides timonensis,1470345,species,NZ_CBVI010000148.1,763415559
Bacteroides timonensis,1470345,species,NZ_CBVI010000149.1,763415614
Bacteroides timonensis,1470345,species,NZ_CBVI010000150.1,763415688
Bacteroides timonensis,1470345,species,NZ_CBVI010000151.1,763415708
Bacteroides timonensis,1470345,species,NZ_CBVI010000152.1,763415717
Bacteroides timonensis,1470345,species,NZ_CBVI010000153.1,763415730
Bacteroides timonensis,1470345,species,NZ_CBVI010000154.1,763415737
Bacteroides timonensis,1470345,species,NZ_CBVI010000155.1,763415797
Bacteroides timonensis,1470345,species,NZ_CBVI010000156.1,763415843
Bacteroides timonensis,1470345,species,NZ_CBVI010000157.1,763415863
Bacteroides timonensis,1470345,species,NZ_CBVI010000158.1,763415900
Bacteroides timonensis,1470345,species,NZ_CBVI010000159.1,763415957
Bacteroides timonensis,1470345,species,NZ_CBVI010000160.1,763415963
Bacteroides timonensis,1470345,species,NZ_CBVI010000161.1,763415968
Bacteroides timonensis,1470345,species,NZ_CBVI010000162.1,763415979
Bacteroides timonensis,1470345,species,NZ_CBVI010000163.1,763415992
Bacteroides timonensis,1470345,species,NZ_CBVI010000164.1,763415999
Bacteroides timonensis,1470345,species,NZ_CBVI010000165.1,763416062
Bacteroides timonensis,1470345,species,NZ_CBVI010000166.1,763416082
Bacteroides timonensis,1470345,species,NZ_CBVI010000167.1,763416092
Bacteroides timonensis,1470345,species,NZ_CBVI010000168.1,763416107
Bacteroides timonensis,1470345,species,NZ_CBVI010000169.1,763416155
Bacteroides timonensis,1470345,species,NZ_CBVI010000170.1,763416162
Bacteroides timonensis,1470345,species,NZ_CBVI010000171.1,763416211
Bacteroides timonensis,1470345,species,NZ_CBVI010000172.1,763416246
Bacteroides timonensis,1470345,species,NZ_CBVI010000173.1,763416265
Bacteroides timonensis,1470345,species,NZ_CBVI010000174.1,763416271
Bacteroides timonensis,1470345,species,NZ_CBVI010000175.1,763416322
Bacteroides timonensis,1470345,species,NZ_CBVI010000176.1,763416362
Bacteroides timonensis,1470345,species,NZ_CBVI010000177.1,763416383
Bacteroides timonensis,1470345,species,NZ_CBVI010000178.1,763416405
Bacteroides timonensis,1470345,species,NZ_CBVI010000180.1,763416442
Bacteroides timonensis,1470345,species,NZ_CBVI010000181.1,763416457
Bacteroides timonensis,1470345,species,NZ_CBVI010000182.1,763416472
Bacteroides timonensis,1470345,species,NZ_CBVI010000183.1,763416481
Bacteroides timonensis,1470345,species,NZ_CBVI010000185.1,763416513
Bacteroides timonensis,1470345,species,NZ_CBVI010000186.1,763416531
Bacteroides timonensis,1470345,species,NZ_CBVI010000187.1,763416540
Bacteroides timonensis,1470345,species,NZ_CBVI010000190.1,763416577
Bacteroides timonensis,1470345,species,NZ_CBVI010000191.1,763416588
Bacteroides timonensis,1470345,species,NZ_CBVI010000192.1,763416595
Bacteroides timonensis,1470345,species,NZ_CBVI010000194.1,763416609
Bacteroides timonensis,1470345,species,NZ_CBVI010000195.1,763416617
Bacteroides timonensis,1470345,species,NZ_CBVI010000196.1,763416630
Bacteroides timonensis,1470345,species,NZ_CBVI010000197.1,763416642
Bacteroides timonensis,1470345,species,NZ_CBVI010000199.1,763416665
Bacteroides timonensis,1470345,species,NZ_CBVI010000200.1,763416669
Bacteroides timonensis,1470345,species,NZ_CBVI010000202.1,763416682
Bacteroides timonensis,1470345,species,NZ_CBVI010000203.1,763416689
Bacteroides timonensis,1470345,species,NZ_CBVI010000204.1,763416698
Bacteroides timonensis,1470345,species,NZ_CBVI010000207.1,763416721
Bacteroides timonensis,1470345,species,NZ_CBVI010000210.1,763416738
Bacteroides timonensis,1470345,species,NZ_CBVI010000211.1,763416745
Sphingomonas hengshuiensis,1609977,species,NZ_CP010836.1,764364074
Hymenobacter sp. DG25B,1385664,species,NZ_CP010054.1,764947025
Rickettsiales bacterium Ac37b,1528098,species,NZ_CP009217.1,765012397
Campylobacter peloridis LMG 23910,1388753,strain,NZ_CP007766.1,765033798
Gynuella sunshinyii YC6258,1445510,strain,NZ_CP007142.1,765292753
Propionibacterium freudenreichii subsp. freudenreichii,66712,subspecies,NZ_CP010341.1,765309511
Siansivirga zeaxanthinifaciens CC-SAMT-1,1454006,strain,NZ_CP007202.1,765312263
Bacteroides acidifaciens,85831,species,NZ_CDPR01000003.1,765329634
Bacteroides acidifaciens,85831,species,NZ_CDPR01000005.1,765329640
Bacteroides acidifaciens,85831,species,NZ_CDPR01000008.1,765329663
Bacteroides acidifaciens,85831,species,NZ_CDPR01000009.1,765329671
Bacteroides acidifaciens,85831,species,NZ_CDPR01000011.1,765329682
Bacteroides acidifaciens,85831,species,NZ_CDPR01000012.1,765329690
Bacteroides acidifaciens,85831,species,NZ_CDPR01000015.1,765329709
Bacteroides acidifaciens,85831,species,NZ_CDPR01000019.1,765329759
Bacteroides acidifaciens,85831,species,NZ_CDPR01000021.1,765329775
Bacteroides acidifaciens,85831,species,NZ_CDPR01000023.1,765329783
Bacteroides acidifaciens,85831,species,NZ_CDPR01000026.1,765329812
Bacteroides acidifaciens,85831,species,NZ_CDPR01000028.1,765329831
Bacteroides acidifaciens,85831,species,NZ_CDPR01000031.1,765329853
Bacteroides acidifaciens,85831,species,NZ_CDPR01000033.1,765329875
Bacteroides acidifaciens,85831,species,NZ_CDPR01000035.1,765329894
Bacteroides acidifaciens,85831,species,NZ_CDPR01000036.1,765329904
Bacteroides acidifaciens,85831,species,NZ_CDPR01000039.1,765329921
Bacteroides acidifaciens,85831,species,NZ_CDPR01000041.1,765329933
Bacteroides acidifaciens,85831,species,NZ_CDPR01000042.1,765329943
Bacteroides acidifaciens,85831,species,NZ_CDPR01000044.1,765329963
Bacteroides acidifaciens,85831,species,NZ_CDPR01000046.1,765329985
Bacteroides acidifaciens,85831,species,NZ_CDPR01000047.1,765330006
Bacteroides acidifaciens,85831,species,NZ_CDPR01000049.1,765330013
Bacteroides acidifaciens,85831,species,NZ_CDPR01000050.1,765330018
Bacteroides acidifaciens,85831,species,NZ_CDPR01000051.1,765330035
Bacteroides acidifaciens,85831,species,NZ_CDPR01000053.1,765330055
Bacteroides acidifaciens,85831,species,NZ_CDPR01000055.1,765330070
Bacteroides acidifaciens,85831,species,NZ_CDPR01000058.1,765330090
Bacteroides acidifaciens,85831,species,NZ_CDPR01000059.1,765330102
Bacteroides acidifaciens,85831,species,NZ_CDPR01000061.1,765330113
Bacteroides acidifaciens,85831,species,NZ_CDPR01000062.1,765330122
Bacteroides acidifaciens,85831,species,NZ_CDPR01000066.1,765330143
Bacteroides acidifaciens,85831,species,NZ_CDPR01000068.1,765330175
Bacteroides acidifaciens,85831,species,NZ_CDPR01000073.1,765330199
Bacteroides acidifaciens,85831,species,NZ_CDPR01000074.1,765330205
Bacteroides acidifaciens,85831,species,NZ_CDPR01000076.1,765330220
Bacteroides acidifaciens,85831,species,NZ_CDPR01000077.1,765330239
Bacteroides acidifaciens,85831,species,NZ_CDPR01000079.1,765330254
Bacteroides acidifaciens,85831,species,NZ_CDPR01000083.1,765330296
Bacteroides acidifaciens,85831,species,NZ_CDPR01000084.1,765330301
Bacteroides acidifaciens,85831,species,NZ_CDPR01000085.1,765330308
Bacteroides acidifaciens,85831,species,NZ_CDPR01000087.1,765330318
Bacteroides acidifaciens,85831,species,NZ_CDPR01000089.1,765330326
Bacteroides acidifaciens,85831,species,NZ_CDPR01000091.1,765330343
Bacteroides acidifaciens,85831,species,NZ_CDPR01000093.1,765330366
Bacteroides acidifaciens,85831,species,NZ_CDPR01000095.1,765330388
Bacteroides acidifaciens,85831,species,NZ_CDPR01000097.1,765330396
Bacteroides acidifaciens,85831,species,NZ_CDPR01000100.1,765330413
Bacteroides acidifaciens,85831,species,NZ_CDPR01000102.1,765330429
Bacteroides acidifaciens,85831,species,NZ_CDPR01000106.1,765330459
Bacteroides acidifaciens,85831,species,NZ_CDPR01000107.1,765330468
Bacteroides acidifaciens,85831,species,NZ_CDPR01000110.1,765330499
Bacteroides acidifaciens,85831,species,NZ_CDPR01000112.1,765330508
Bacteroides acidifaciens,85831,species,NZ_CDPR01000118.1,765330541
Bacteroides acidifaciens,85831,species,NZ_CDPR01000120.1,765330555
Bacteroides acidifaciens,85831,species,NZ_CDPR01000123.1,765330574
Bacteroides acidifaciens,85831,species,NZ_CDPR01000125.1,765330586
Bacteroides acidifaciens,85831,species,NZ_CDPR01000133.1,765330644
Bacteroides acidifaciens,85831,species,NZ_CDPR01000134.1,765330649
Bacteroides acidifaciens,85831,species,NZ_CDPR01000135.1,765330656
Bacteroides acidifaciens,85831,species,NZ_CDPR01000136.1,765330678
Bacteroides acidifaciens,85831,species,NZ_CDPR01000138.1,765330692
Bacteroides acidifaciens,85831,species,NZ_CDPR01000144.1,765330733
Bacteroides acidifaciens,85831,species,NZ_CDPR01000145.1,765330737
Bacteroides acidifaciens,85831,species,NZ_CDPR01000148.1,765330753
Bacteroides acidifaciens,85831,species,NZ_CDPR01000149.1,765330761
Bacteroides acidifaciens,85831,species,NZ_CDPR01000150.1,765330771
Bacteroides acidifaciens,85831,species,NZ_CDPR01000154.1,765330800
Bacteroides acidifaciens,85831,species,NZ_CDPR01000155.1,765330804
Bacteroides acidifaciens,85831,species,NZ_CDPR01000162.1,765330833
Bacteroides acidifaciens,85831,species,NZ_CDPR01000164.1,765330848
Bacteroides acidifaciens,85831,species,NZ_CDPR01000165.1,765330854
Bacteroides acidifaciens,85831,species,NZ_CDPR01000167.1,765330867
Bacteroides acidifaciens,85831,species,NZ_CDPR01000168.1,765330871
Bacteroides acidifaciens,85831,species,NZ_CDPR01000171.1,765330898
Bacteroides acidifaciens,85831,species,NZ_CDPR01000176.1,765330917
Bacteroides acidifaciens,85831,species,NZ_CDPR01000178.1,765330928
Bacteroides acidifaciens,85831,species,NZ_CDPR01000179.1,765330934
Bacteroides acidifaciens,85831,species,NZ_CDPR01000180.1,765330951
Bacteroides acidifaciens,85831,species,NZ_CDPR01000182.1,765330966
Bacteroides acidifaciens,85831,species,NZ_CDPR01000186.1,765330991
Bacteroides acidifaciens,85831,species,NZ_CDPR01000188.1,765331006
Bacteroides acidifaciens,85831,species,NZ_CDPR01000192.1,765331031
Bacteroides acidifaciens,85831,species,NZ_CDPR01000195.1,765331046
Bacteroides acidifaciens,85831,species,NZ_CDPR01000196.1,765331050
Bacteroides acidifaciens,85831,species,NZ_CDPR01000199.1,765331073
Bacteroides acidifaciens,85831,species,NZ_CDPR01000200.1,765331079
Bacteroides acidifaciens,85831,species,NZ_CDPR01000201.1,765331085
Bacteroides acidifaciens,85831,species,NZ_CDPR01000204.1,765331108
Bacteroides acidifaciens,85831,species,NZ_CDPR01000205.1,765331111
Bacteroides acidifaciens,85831,species,NZ_CDPR01000206.1,765331119
Bacteroides acidifaciens,85831,species,NZ_CDPR01000207.1,765331122
Bacteroides acidifaciens,85831,species,NZ_CDPR01000209.1,765331134
Bacteroides acidifaciens,85831,species,NZ_CDPR01000210.1,765331139
Bacteroides acidifaciens,85831,species,NZ_CDPR01000214.1,765331154
Bacteroides acidifaciens,85831,species,NZ_CDPR01000215.1,765331157
Bacteroides acidifaciens,85831,species,NZ_CDPR01000217.1,765331169
Bacteroides acidifaciens,85831,species,NZ_CDPR01000222.1,765331206
Bacteroides acidifaciens,85831,species,NZ_CDPR01000224.1,765331222
Bacteroides acidifaciens,85831,species,NZ_CDPR01000231.1,765331277
Bacteroides acidifaciens,85831,species,NZ_CDPR01000234.1,765331299
Bacteroides acidifaciens,85831,species,NZ_CDPR01000248.1,765331388
Bacteroides acidifaciens,85831,species,NZ_CDPR01000251.1,765331409
Bacteroides acidifaciens,85831,species,NZ_CDPR01000255.1,765331448
Bacteroides acidifaciens,85831,species,NZ_CDPR01000256.1,765331457
Bacteroides acidifaciens,85831,species,NZ_CDPR01000259.1,765331482
Bacteroides acidifaciens,85831,species,NZ_CDPR01000264.1,765331500
Bacteroides acidifaciens,85831,species,NZ_CDPR01000265.1,765331503
Bacteroides acidifaciens,85831,species,NZ_CDPR01000270.1,765331533
Bacteroides acidifaciens,85831,species,NZ_CDPR01000273.1,765331551
Bacteroides acidifaciens,85831,species,NZ_CDPR01000275.1,765331565
Bacteroides acidifaciens,85831,species,NZ_CDPR01000276.1,765331573
Bacteroides acidifaciens,85831,species,NZ_CDPR01000293.1,765331663
Bacteroides acidifaciens,85831,species,NZ_CDPR01000297.1,765331686
Bacteroides acidifaciens,85831,species,NZ_CDPR01000299.1,765331699
Bacteroides acidifaciens,85831,species,NZ_CDPR01000300.1,765331710
Bacteroides acidifaciens,85831,species,NZ_CDPR01000301.1,765331718
Bacteroides acidifaciens,85831,species,NZ_CDPR01000302.1,765331723
Bacteroides acidifaciens,85831,species,NZ_CDPR01000305.1,765331733
Bacteroides acidifaciens,85831,species,NZ_CDPR01000306.1,765331741
Bacteroides acidifaciens,85831,species,NZ_CDPR01000309.1,765331756
Bacteroides acidifaciens,85831,species,NZ_CDPR01000310.1,765331761
Bacteroides acidifaciens,85831,species,NZ_CDPR01000311.1,765331769
Bacteroides acidifaciens,85831,species,NZ_CDPR01000314.1,765331783
Bacteroides acidifaciens,85831,species,NZ_CDPR01000316.1,765331794
Bacteroides acidifaciens,85831,species,NZ_CDPR01000317.1,765331802
Bacteroides acidifaciens,85831,species,NZ_CDPR01000322.1,765331822
Bacteroides acidifaciens,85831,species,NZ_CDPR01000328.1,765331854
Bacteroides acidifaciens,85831,species,NZ_CDPR01000332.1,765331868
Bacteroides acidifaciens,85831,species,NZ_CDPR01000334.1,765331879
Bacteroides acidifaciens,85831,species,NZ_CDPR01000337.1,765331892
Bacteroides acidifaciens,85831,species,NZ_CDPR01000339.1,765331904
Bacteroides acidifaciens,85831,species,NZ_CDPR01000345.1,765331941
Bacteroides acidifaciens,85831,species,NZ_CDPR01000347.1,765331949
Bacteroides acidifaciens,85831,species,NZ_CDPR01000348.1,765331952
Bacteroides acidifaciens,85831,species,NZ_CDPR01000352.1,765331968
Bacteroides acidifaciens,85831,species,NZ_CDPR01000353.1,765331975
Bacteroides acidifaciens,85831,species,NZ_CDPR01000362.1,765332016
Bacteroides acidifaciens,85831,species,NZ_CDPR01000372.1,765332068
Bacteroides acidifaciens,85831,species,NZ_CDPR01000375.1,765332086
